Day;Hour;Secular_Holiday;Religious_holiday;Sports;TV_Media;Weather_transport;AirTempMLM;AirTempSTHLM;precipitationMLM;precipitationSTHLM;RainMLM2;RainSTHLM2;D_precipitationMLM;D_precipitationSTHLM;D_AirTempMLM;D_AirTempSTHLM;D_precipitationMLM2;D_precipitationSTHLM2;D_AirTempMLM2;D_AirTempSTHLM2;MY;StandSize;AirTempMLM2;AirTempSTHLM2
6;0;0;0;0;0;0;6.6;4;0;0;0;0;0;0;-.6000000000000005;-.4000000000000004;0;0;.3600000000000007;.1600000000000003;201604;-1.4566603;43.560001;16
7;0;0;0;0;0;0;5.9;3.5;0;0;0;0;0;0;-.5;-.5;0;0;.25;.25;201604;-1.3716863;34.810001;12.25
1;0;0;0;0;0;0;5.4;5.4;0;0;0;0;0;0;-.5999999999999996;.1000000000000005;0;0;.3599999999999996;.0100000000000001;201604;-1.5925257;29.16;29.16
2;0;0;0;0;0;0;6.3;6.5;0;0;0;0;0;0;-.2000000000000002;.7999999999999998;0;0;.0400000000000001;.6399999999999997;201604;-1.6365395;39.689999;42.25
3;0;0;0;0;0;0;6.2;4.1;0;0;0;0;0;0;-.2999999999999998;-.5;0;0;.0899999999999999;.25;201604;-1.6467353;38.439999;16.809999
4;0;0;0;0;0;0;6.3;1.9;0;0;0;0;0;0;-.5;-.3999999999999999;0;0;.25;.1599999999999999;201604;-1.559525;39.689999;3.6099999
5;0;0;0;0;0;0;6.7;3.9;0;3.3;0;10.89;0;2.7;.2000000000000002;-.6000000000000001;0;7.289999999999998;.0400000000000001;.3600000000000001;201604;-1.4862065;44.889999;15.21
6;0;0;0;0;0;0;5.8;1.6;0;0;0;0;0;0;-.2999999999999998;0;0;0;.0899999999999999;0;201604;-1.4625239;33.639999;2.5599999
7;0;0;0;0;0;0;3.9;.2;0;0;0;0;0;0;-.6999999999999997;-1.5;0;0;.4899999999999996;2.25;201604;-1.3844835;15.21;.039999999
1;0;0;0;0;0;0;.7;-.4;0;0;0;0;0;0;0;-.8;0;0;0;.6400000000000001;201604;-1.5874557;.49000001;.16
2;0;0;0;0;0;0;3.9;2.6;0;0;0;0;0;0;.7999999999999998;.2000000000000002;0;0;.6399999999999997;.0400000000000001;201604;-1.5711383;15.21;6.7600002
3;0;0;0;0;0;0;2.5;1.5;.6;0;.36;0;-.3;0;.5;.3;.09;0;.25;.09;201604;-1.5328981;6.25;2.25
